word,frequency,standard_definition,standard_example
internet,111,Any set of computer networks that communicate using the Internet Protocol. (An intranet.),
trending,107,To have a particular direction; to run; to stretch; to tend.,The shore of the sea trends to the southwest.
meme,53,"Any unit of cultural information, such as a practice or idea, that is transmitted verbally or by repeated action from one mind to another in a comparable way to the transmission of genes.",
minutes,46,A unit of time equal to sixty seconds (one-sixtieth of an hour).,You have twenty minutes to complete the test.
fyp,40,unknown,unknown
mme,35,unknown,unknown
que,30,"A fireplace or pit for grilling food, typically used outdoors and traditionally employing hot charcoal as the heating medium.",We cooked our food on the barbecue.
bluesky,26,unknown,unknown
nsfw,25,unknown,unknown
artfight,24,unknown,unknown
posts,23,A long dowel or plank protruding from the ground; a fencepost; a lightpost.,ram a post into the ground
words,20,"The smallest unit of language that has a particular meaning and can be expressed by itself; the smallest discrete, meaningful unit of language. (contrast morpheme.)",
greece,19,unknown,unknown
pas,18,"A pace; a step, as in a dance or in marching.",
aman,18,unknown,unknown
gaza,18,unknown,unknown
blueskys,17,unknown,unknown
ukraine,17,unknown,unknown
longpresscopy,17,unknown,unknown
trends,17,An inclination in a particular direction.,the trend of a coastline
followers,17,"One who follows, comes after another.",
qui,16,unknown,unknown
hormuz,16,unknown,unknown
laughs,16,An expression of mirth particular to the human species; the sound heard in laughing; laughter.,His deep laughs boomed through the room.
mais,15,unknown,unknown
pachuca,15,unknown,unknown
furryart,15,unknown,unknown
fossils,14,The mineralized remains of an animal or plant.,
des,14,Desflurane.,
miga,13,unknown,unknown
musicchallenge,13,unknown,unknown
gamedev,11,unknown,unknown
tiktok,10,unknown,unknown
quil,10,unknown,unknown
est,10,Grace; favour.,
crystals,10,A solid composed of an array of atoms or molecules possessing long-range order and arranged in a pattern which is periodic in three dimensions.,
means,9,To lament.,
avec,9,unknown,unknown
dans,9,A small truck or sledge used in coal mines.,
digitalart,9,unknown,unknown
brasil,9,unknown,unknown
years,8,"A solar year, the time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).",we moved to this town a year ago;  I quit smoking exactly one year ago
things,7,"That which is considered to exist as a separate entity, object, quality or concept.",
wanna,7,unknown,unknown
makes,7,Brand or kind; model.,What make of car do you drive?
jai,7,unknown,unknown
faire,7,unknown,unknown
temps,7,"A temporary employee, usually in an office.",
listentoblackvoices,7,unknown,unknown
app,6,"An application (program), especially a small one designed for a mobile device.",
having,6,"To possess, own.",I have a house and a car.
views,6,(physical) Visual perception.,
sont,6,unknown,unknown
memes,6,"Any unit of cultural information, such as a practice or idea, that is transmitted verbally or by repeated action from one mind to another in a comparable way to the transmission of genes.",
donakd,6,unknown,unknown
indiedev,6,unknown,unknown
freepalestine,6,unknown,unknown
aiart,6,unknown,unknown
terms,5,"That which limits the extent of anything; limit, extremity, bound, boundary.","""Alright, look...we can spend the holidays with your parents, but this time it will be on my terms."""
lol,5,"(British commonwealth) Loyal Orange Lodge, a prefix given to all branches of the Loyal Orange Order. For example, LOL 1 is Portadown branch.",
une,5,unknown,unknown
ont,5,unknown,unknown
wildflowerhour,5,unknown,unknown
topics,5,Subject; theme; a category or general area of interest.,"A society where a topic cannot be discussed, does not have free speech."
deus,5,unknown,unknown
instagood,5,unknown,unknown
bio,5,Biographical sketch,
fypviral,5,unknown,unknown
stars,5,"Any small luminous dot appearing in the cloudless portion of the night sky, especially with a fixed location relative to other such dots.",
jeu,5,unknown,unknown
girls,4,"A female child, adolescent, or a young woman.",
bbc,4,unknown,unknown
sounds,4,A sensation perceived by the ear caused by the vibration of air or some other medium.,He turned when he heard the sound of footsteps behind him.  Nobody made a sound.
fans,4,"A hand-held device consisting of concertinaed material, or slats of material, gathered together at one end, that may be opened out into the shape of a sector of a circle and waved back and forth in order to move air towards oneself and cool oneself.",
fait,4,unknown,unknown
trop,4,unknown,unknown
vous,4,unknown,unknown
happens,4,To occur or take place.,Let me tell you how it happened.
instagram,4,unknown,unknown
crypto,4,A secret supporter or follower.,
rssia,4,unknown,unknown
realnsfw,4,unknown,unknown
usaid,4,unknown,unknown
lets,4,The allowing of possession of a property etc. in exchange for rent.,
spicysky,4,unknown,unknown
egirl,4,unknown,unknown
skyhub,4,unknown,unknown
instadaily,4,unknown,unknown
gerita,4,unknown,unknown
junegloom,4,unknown,unknown
foryou,4,unknown,unknown
friends,3,"A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.",John and I have been friends ever since we were roommates at college.   Trust is important between friends.   I used to find it hard to make friends when I was shy.
videos,3,"Television, television show, movie.",
favorites,3,A person or thing who enjoys special regard or favour.,The teacher's favourite always went first.
asking,3,"To request (information, or an answer to a question).",I asked her age.
heard,3,(stative) To perceive sounds through the ear.,"I was deaf, and now I can hear."
brainrot,3,unknown,unknown
feels,3,Of or relating to the emotions.,emotional crisis
kinda,3,Kind of; somewhat,I kinda hafta do this right now.
nachfragen,3,unknown,unknown
lpoque,3,unknown,unknown
quon,3,unknown,unknown
mma,3,unknown,unknown
jamais,3,unknown,unknown
jespre,3,unknown,unknown
ils,3,unknown,unknown
messaging,3,"To send a message to; to transmit a message to, e.g. as text via a cell phone.",I messaged her about the concert.
quand,3,unknown,unknown
books,3,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.",He was frustrated because he couldn't find anything about dinosaurs in the book.
rien,3,unknown,unknown
sais,3,unknown,unknown
vois,3,unknown,unknown
reste,3,unknown,unknown
cas,3,Informal abbreviation for casual,
cette,3,unknown,unknown
accounts,3,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review.",
forma,3,unknown,unknown
nada,3,Nothing.,
trumps,3,A musical instrument consisting of a flexible metal or bamboo “tongue” attached to a frame. This tongue is placed in the performer’s mouth and plucked with the finger to produce a note of constant pitch. Melodies can be created by changing the shape of the mouth and causing different overtones.,
reports,3,"A piece of information describing, or an account of certain events given or presented to someone, with the most common adpositions being by (referring to creator of the report) and on (referring to the subject).",A report by the telecommunications ministry on the phone network revealed a severe capacity problem.
deltarune,3,unknown,unknown
called,3,(heading) To use one's voice.,
started,3,"To begin, commence, initiate.",
france,3,unknown,unknown
sakurai,3,unknown,unknown
cryptocurrency,3,A digital currency based on a cryptographic system.,Bitcoin was the first decentralized cryptocurrency.
stunday,3,unknown,unknown
lsu,3,unknown,unknown
vtuber,3,unknown,unknown
sexywomen,3,unknown,unknown
prettygirls,3,unknown,unknown
replies,3,A written or spoken response; part of a conversation.,
nfl,3,unknown,unknown
missteps,3,To step badly or incorrectly.,My dance partner misstepped and landed on my toe.
doomed,3,To pronounce sentence or judgment on; to condemn.,a criminal doomed to death
wnba,3,unknown,unknown
hotgirl,3,unknown,unknown
pyt,3,unknown,unknown
colorthemusic,3,unknown,unknown
musiclingo,3,unknown,unknown
birds,3,"A member of the class of animals Aves in the phylum Chordata, characterized by being warm-blooded, having feathers and wings usually capable of flight, and laying eggs.",Ducks and sparrows are birds.
doute,3,unknown,unknown
moments,3,"A brief, unspecified amount of time.","Wait a moment, while I lock the front door."
europe,3,unknown,unknown
stands,2,The act of standing.,
lips,2,Either of the two fleshy protrusions around the opening of the mouth.,
sjunga,2,unknown,unknown
denna,2,unknown,unknown
katten,2,unknown,unknown
inte,2,unknown,unknown
dem,2,The act of demonstrating; showing or explaining something.,
puts,2,A right to sell something at a predetermined price.,
rhyming,2,To compose or treat in verse; versify.,
orzibal,2,unknown,unknown
labubu,2,unknown,unknown
att,2,unknown,unknown
passar,2,unknown,unknown
gnga,2,unknown,unknown
med,2,"(chiefly in the plural) Medications, especially prescribed psychoactive medications.",He's been very strange. I wonder if he's not been taking his meds.
nivn,2,unknown,unknown
online,2,"To bring (a system, etc.) online; to promote to an active or running state.",
lowkey,2,Dark; characterised by dark tones and muted colours.,
cucaracha,2,unknown,unknown
skibidi,2,unknown,unknown
lines,2,"A path through two or more points (compare ‘segment’); a continuous mark, including as made by a pen; any path, curved or straight.",The arrow descended in a curved line.
guys,2,An effigy of a man burned on a bonfire on the anniversary of the Gunpowder Plot (5th November).,
sucks,2,An instance of drawing something into one's mouth by inhaling.,
