word,HuggingFaceTB/SmolLM2-135M,Qwen/Qwen3-0.6B,gemini-1.5-flash,gemini-2.0-flash-lite,gemini-2.5-flash,gemini-2.5-pro,google/gemma-3-1b-it,gpt2
aiart,0.13705,0.3024,0.64055,0.53545,0.5079,0.29795,0.47365,0.1249
alphas,0.3138,0.4817,0.0989,0.01575,0.21865,0.26125,0.26875000000000004,0.3437
artfight,0.22085,0.10455,0.59245,0.60705,0.52145,0.58145,0.2601,0.2347
ayo,0.2732,0.38885,0.32455,0.35645,0.321,0.3598,0.3078,0.2682
backgrounds,0.13285000000000002,0.1096,0.15539999999999998,0.21175,0.15810000000000002,0.1305,0.21094999999999997,0.21660000000000001
backstabbing,0.36875,0.32580000000000003,0.2706,0.33530000000000004,0.37545,0.19519999999999998,0.35814999999999997,0.34005
bandwagon,0.2098,0.29895000000000005,0.0593,0.13695000000000002,0.1393,0.11275,0.145,0.33285
bbc,0.3791,0.41225,0.2454,0.413,0.4337,0.36605,0.44725000000000004,0.17315
blm,0.3162,0.2564,0.44709999999999994,0.6617500000000001,0.81155,0.7181,0.5358,0.3057
bluesky,0.1176,0.15275,0.85795,0.68055,0.7601,0.8797999999999999,0.21915,0.1079
boi,0.15395,0.27715,0.4833,0.49139999999999995,0.4706,0.5126,0.27295,0.22355
booksky,0.2449,0.22645,0.1169,0.38349999999999995,0.4619,0.16815,0.31555,0.21705000000000002
brainrot,0.16765000000000002,0.1661,0.1483,0.41564999999999996,0.41500000000000004,0.48855000000000004,0.1523,0.26855
breakingnews,0.27005,0.42410000000000003,0.32415,,0.2212,0.27125,0.4463,0.4053
bro,0.268,0.1525,0.2912,0.36124999999999996,0.4972,0.2736,0.2278,0.24455000000000002
btw,0.3028,0.12075,0.57545,0.3437,0.5718000000000001,0.6426499999999999,0.5646,0.18680000000000002
clickbait,0.4101,0.35345000000000004,0.50355,0.51525,0.5392,0.48445000000000005,0.43145,0.24534999999999998
cooked,0.25825,0.17079999999999998,0.17020000000000002,0.40735,0.32415,0.26315,0.2925,0.20839999999999997
cosplay,0.27985,0.55475,0.759,0.85965,0.7011499999999999,0.7222,0.45215,0.19185
crypto,0.37485,0.4194,0.6307499999999999,0.6699999999999999,0.56155,0.66185,0.38615,0.38965
cryptocurrency,0.4424,0.43504999999999994,,,,,0.53895,0.28185
dailyvlog,0.3787,0.21565,,,,,0.5578,0.44015000000000004
